Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2187.61906
FDW14,OUT017,1236.3240199999998
NCN55,OUT010,584.27279
FDQ58,OUT017,2074.86583
FDY38,OUT027,4552.17447
FDH56,OUT046,2533.43558
FDL48,OUT018,1913.40933
FDC48,OUT027,3221.20698
FDN33,OUT045,1906.9177800000002
FDA36,OUT017,2225.86927
FDT44,OUT017,1755.74789
FDQ56,OUT045,1250.9383300000002
NCC54,OUT019,391.0243399999999
FDU11,OUT049,2279.0334
DRL59,OUT013,1255.033
FDM24,OUT049,2506.3042300000006
FDI57,OUT045,2510.83167
DRC12,OUT018,2168.64376
NCM42,OUT027,2603.24471
FDA46,OUT010,398.04853
FDA31,OUT013,2679.9115799999995
NCJ31,OUT035,2882.78084
FDG52,OUT046,1365.2561899999998
NCL19,OUT019,352.77413
FDS10,OUT035,3333.5274399999994
FDX22,OUT010,284.69608000000005
NCF19,OUT035,1632.2087000000001
NCE06,OUT046,1958.3175399999996
DRC27,OUT046,2607.30609
FDE21,OUT035,1947.1653900000006
NCR42,OUT019,281.56682
FDX51,OUT018,2452.9736500000004
NCR06,OUT018,1358.53161
FDU31,OUT027,5031.084410000001
FDU59,OUT017,2058.45386
FDR03,OUT027,3813.00331
FDS49,OUT027,3612.8305400000004
FDD48,OUT010,305.00298000000004
NCF18,OUT017,3582.1371600000007
NCD43,OUT027,2607.0730599999997
NCD54,OUT018,1742.59834
FDY19,OUT010,302.77254999999997
NCY54,OUT017,2370.54761
NCL19,OUT018,2004.3908999999999
FDP23,OUT010,594.39295
FDC26,OUT013,2672.3547500000004
FDR14,OUT010,269.34938999999997
NCS41,OUT035,3090.7767599999997
FDF41,OUT035,2842.5998099999997
FDU34,OUT046,2603.41116
DRH11,OUT046,1510.8666500000002
FDM03,OUT013,2061.8161499999997
FDS31,OUT017,2736.23826
FDJ20,OUT017,2032.12147
FDV44,OUT027,5031.084410000001
FDG02,OUT049,1621.92209
FDA09,OUT013,2964.67424
FDT04,OUT013,1092.37806
FDL58,OUT019,278.60400999999996
FDE52,OUT045,1451.8101900000001
FDW12,OUT035,1920.66655
FDL51,OUT017,3088.6129099999994
NCY42,OUT027,3534.8320700000004
FDR07,OUT017,1669.99285
FDN40,OUT045,1935.8135000000002
FDB35,OUT027,2810.80786
FDA22,OUT017,2799.82216
NCL06,OUT046,2905.5179099999996
FDI35,OUT013,2629.47723
NCW42,OUT045,3162.18381
NCX06,OUT049,2862.47394
FDC37,OUT027,3221.20698
FDZ14,OUT018,2001.46138
DRG49,OUT049,2126.49862
NCG06,OUT045,3165.44623
DRC36,OUT045,1760.5083599999998
FDV21,OUT019,370.51770000000005
FDB53,OUT046,2195.5087900000003
DRP47,OUT019,584.40595
FDA14,OUT013,1796.1286599999999
